,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.2 Solution Time"
0,ER_700_800_0.05_15,98,91,94,95,93,95,97,95,97,95,30.150101900100708,30.08043599128723,30.10466694831848,30.348758935928345,30.18666410446167,30.098160982131958,30.2049298286438,30.072901010513306,30.1802179813385,30.284302949905396
1,ER_700_800_0.05_23,95,94,98,96,95,97,97,96,95,94,30.172667980194092,30.047799110412598,30.06516981124878,30.225746154785156,30.132659912109375,30.01977300643921,30.25365900993347,30.095767974853516,30.03754496574402,30.042541980743408
2,ER_700_800_0.05_2,96,97,99,96,100,95,96,95,100,93,30.12486696243286,30.349814891815186,30.47834801673889,30.201247930526733,30.133519172668457,30.486212968826294,30.11385416984558,30.43628478050232,30.537476062774658,30.193780183792114
3,ER_700_800_0.05_22,96,96,95,95,96,95,97,96,96,95,31.118624925613403,31.273283004760742,30.26306414604187,30.63101887702942,30.394490957260132,30.040230989456177,30.665932178497314,30.252540111541748,30.091943979263306,30.204082012176514
4,ER_700_800_0.05_3,94,95,96,96,99,97,94,96,97,95,30.436688899993896,30.03795599937439,30.089595079421997,30.587702989578247,30.42255687713623,30.046133995056152,30.06581401824951,30.057926893234253,30.09109592437744,30.05578899383545
5,ER_700_800_0.05_14,96,97,94,94,94,97,94,96,92,93,30.045650959014893,30.05570888519287,30.24937081336975,30.029721975326538,30.027812957763672,30.232205152511597,30.119338035583496,30.030028104782104,30.02893900871277,30.028114080429077
6,ER_700_800_0.05_1,91,97,95,95,92,92,93,95,95,95,30.028438806533813,30.026427030563354,30.02541708946228,30.04711103439331,30.05105495452881,30.01542592048645,30.14890480041504,30.032248973846436,30.042291164398193,30.101917028427124
7,ER_700_800_0.05_20,94,91,89,91,95,93,92,89,90,91,30.03302788734436,30.062217950820923,30.090830087661743,30.058979034423828,30.055309057235718,30.094116926193237,30.07910394668579,30.06067204475403,30.16133403778076,30.121898889541626
8,ER_700_800_0.05_30,99,97,96,98,98,99,99,100,101,97,30.109622955322266,30.15137791633606,30.173504114151,30.168944835662842,30.16743516921997,30.029440879821777,30.0982449054718,30.15305495262146,30.240807056427002,30.322773933410645
9,ER_700_800_0.05_29,96,93,92,94,96,95,96,97,92,94,30.049941062927246,30.05338215827942,30.0153911113739,30.082303047180176,30.063671827316284,30.068539142608643,30.098496913909912,30.029922008514404,30.029474020004272,30.102213144302368
10,ER_700_800_0.05_8,95,96,95,95,96,94,97,94,93,94,30.144006967544556,30.041162967681885,30.042099952697754,30.106364011764526,30.02743887901306,30.045753002166748,30.14659881591797,30.21185803413391,30.110481023788452,30.10619807243347
11,ER_700_800_0.05_16,96,93,93,93,94,95,93,93,94,91,30.03404188156128,30.17009401321411,30.07981514930725,30.055268049240112,30.02847695350647,30.049921989440918,30.043181896209717,30.104851961135864,30.009703874588013,30.08360505104065
12,ER_700_800_0.05_28,95,95,92,95,94,94,92,94,93,94,30.039145946502686,30.047159910202026,30.042464017868042,30.044550895690918,30.046427965164185,30.02462601661682,30.023639917373657,30.08611297607422,30.029542922973633,30.02897310256958
13,ER_700_800_0.05_9,92,93,94,92,95,94,94,92,92,93,30.056953191757202,30.027836084365845,30.044917821884155,30.021900177001953,30.123016834259033,30.125411987304688,30.028828859329224,30.025570154190063,30.043474197387695,30.210792064666748
14,ER_700_800_0.05_17,90,91,92,94,92,95,92,93,94,94,30.07572603225708,30.0328369140625,30.072586059570312,30.057536125183105,30.109387159347534,30.088873863220215,30.298209190368652,30.45379400253296,30.12804388999939,30.16504192352295
15,ER_700_800_0.05_0,98,97,99,103,96,99,97,95,95,100,30.11075186729431,30.194833993911743,30.225274085998535,30.037248134613037,30.15986180305481,30.08471918106079,30.20912194252014,30.182668924331665,30.073646068572998,30.074018955230713
16,ER_700_800_0.05_31,96,95,96,96,99,96,93,96,97,97,30.062505960464478,30.138211011886597,30.06839680671692,30.50801992416382,30.235536098480225,30.367789030075073,30.18164587020874,30.14067506790161,30.086854934692383,30.204771995544434
17,ER_700_800_0.05_21,93,97,95,96,94,95,98,99,99,95,30.199364185333252,30.145896911621094,30.025110006332397,30.034344911575317,30.113025188446045,30.237795114517212,30.03362512588501,30.013431072235107,30.516749143600464,30.098345041275024
18,ER_700_800_0.05_5,95,95,95,95,95,92,94,97,94,98,30.307932138442993,30.04656195640564,30.043524026870728,30.392112016677856,30.032585859298706,30.118139028549194,30.02730917930603,30.062461853027344,30.179909229278564,30.237335205078125
19,ER_700_800_0.05_24,95,93,92,94,95,94,97,91,92,93,30.05665898323059,30.029650926589966,30.12230896949768,30.027955055236816,30.11054801940918,30.187286853790283,30.056491136550903,30.42412805557251,30.14507007598877,30.041733980178833
20,ER_700_800_0.05_12,93,95,94,95,92,93,94,97,94,94,30.166818141937256,30.029070138931274,30.24697518348694,30.045794010162354,30.476562023162842,30.127170085906982,30.23082184791565,30.046369075775146,30.02838897705078,30.189099073410034
21,ER_700_800_0.05_13,93,94,96,94,93,94,92,90,94,92,30.086541891098022,30.080606937408447,30.31846594810486,30.22206711769104,30.18984293937683,30.084106922149658,30.053920030593872,30.13478183746338,30.127441883087158,30.132665872573853
22,ER_700_800_0.05_4,97,95,99,100,98,94,97,100,96,96,30.38316798210144,30.22865605354309,30.384232997894287,30.260782957077026,30.34192395210266,30.183339834213257,30.403104066848755,30.038362979888916,30.402601957321167,30.233459949493408
