,Dataset Name,"Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 450 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 450 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 with random sample rate of 0.1 Solution Time"
0,ER_700_800_0.05_15,97,96,98,95,94,97,96,95,96,94,95,30.01831293106079,30.01765012741089,30.02692699432373,30.05814814567566,30.016590118408203,30.029540061950684,30.02736210823059,30.03093695640564,30.02846598625183,30.027095079421997,30.039530992507935
1,ER_700_800_0.05_23,97,93,96,95,102,97,98,97,99,93,95,30.032236099243164,30.028025150299072,30.00786805152893,30.045063018798828,30.027477025985718,30.029143810272217,30.0332088470459,30.01004195213318,30.028120040893555,30.02962899208069,30.026324033737183
2,ER_700_800_0.05_2,98,98,99,95,97,98,97,96,94,94,97,30.08317494392395,30.028931140899658,30.02994704246521,30.02838921546936,30.02328109741211,30.05403709411621,30.028785943984985,30.123811960220337,30.191967010498047,30.06524085998535,30.196799993515015
3,ER_700_800_0.05_22,96,94,93,96,96,94,94,93,97,96,97,30.030910968780518,30.26679801940918,30.00999879837036,30.01118302345276,30.136056184768677,30.02940011024475,30.02356195449829,30.02135705947876,30.047795057296753,30.02956485748291,30.023895978927612
4,ER_700_800_0.05_3,99,98,94,95,96,95,97,95,96,96,96,30.026008129119873,30.021503925323486,30.01946496963501,30.037129163742065,30.05762815475464,30.00816512107849,30.02477502822876,30.01779007911682,30.01918315887451,30.03610110282898,30.019987106323242
5,ER_700_800_0.05_14,95,95,101,96,92,98,94,94,95,92,95,30.032636165618896,30.01907205581665,30.06479501724243,30.027717113494873,30.084317922592163,30.07157301902771,30.022326946258545,30.064146995544434,30.02451992034912,30.028707027435303,30.09403920173645
6,ER_700_800_0.05_1,95,93,93,98,94,92,91,93,94,93,96,30.120008945465088,30.2423198223114,30.02951407432556,30.026039838790894,30.054828882217407,30.125885009765625,30.20425510406494,30.03549599647522,30.074064016342163,30.03486704826355,30.02799081802368
7,ER_700_800_0.05_20,88,93,92,91,95,92,92,94,97,90,92,30.218493938446045,30.04590106010437,30.031208038330078,30.07443904876709,30.026408910751343,30.03565502166748,30.29094409942627,30.05459213256836,30.02637791633606,30.043717861175537,30.026182889938354
8,ER_700_800_0.05_30,101,100,98,95,100,99,100,98,99,99,100,30.02871799468994,30.1009259223938,30.023324966430664,30.095906972885132,30.240944147109985,30.0315899848938,30.029656887054443,30.09876585006714,30.109116077423096,30.164566040039062,30.02090287208557
9,ER_700_800_0.05_29,92,94,92,93,92,94,92,94,93,98,95,30.04752206802368,30.026473999023438,30.020460844039917,30.085369110107422,30.027272939682007,30.029638051986694,30.048562049865723,30.022917985916138,30.01229691505432,30.110597133636475,30.308151960372925
10,ER_700_800_0.05_8,94,92,97,93,95,95,94,95,94,98,96,30.05282688140869,30.044070959091187,30.204578161239624,30.36319613456726,30.024242162704468,30.046055793762207,30.030471801757812,30.028050899505615,30.044631958007812,30.0306179523468,30.047893047332764
11,ER_700_800_0.05_16,94,92,93,93,95,96,94,91,94,94,93,30.029249906539917,30.011595010757446,30.020880937576294,30.022934198379517,30.025670051574707,30.007309913635254,30.012661933898926,30.00619387626648,30.009154796600342,30.024446964263916,30.05176091194153
12,ER_700_800_0.05_28,96,92,95,98,95,96,92,95,92,95,93,30.050339937210083,30.15364408493042,30.034393072128296,30.077108144760132,30.04028820991516,30.031646013259888,30.03880286216736,30.020389080047607,30.0256769657135,30.021152019500732,30.020992040634155
13,ER_700_800_0.05_9,91,92,94,96,94,91,90,93,91,94,93,30.026113986968994,30.019747018814087,30.0275399684906,30.027487993240356,30.019309043884277,30.026166200637817,30.024178981781006,30.0141499042511,30.020591020584106,30.16090989112854,30.022995948791504
14,ER_700_800_0.05_17,93,92,98,94,93,95,96,92,94,97,94,30.00984215736389,30.013796091079712,30.030420064926147,30.05072283744812,30.056573152542114,30.02181601524353,30.02247190475464,30.017492055892944,30.024487018585205,30.011881113052368,30.01204800605774
15,ER_700_800_0.05_0,97,94,94,97,94,94,93,97,93,94,94,30.035053968429565,30.02139115333557,30.01998519897461,30.02145290374756,30.024173974990845,30.02529811859131,30.022084951400757,30.079850912094116,30.02004098892212,30.02212119102478,30.023845911026
16,ER_700_800_0.05_31,97,97,95,97,94,95,96,95,94,96,95,30.021872997283936,30.023488998413086,30.02288508415222,30.026875019073486,30.026044845581055,30.04350185394287,30.01077890396118,30.024412870407104,30.02241802215576,30.021108865737915,30.004880905151367
17,ER_700_800_0.05_21,96,95,92,93,95,94,96,94,95,99,95,30.030261039733887,30.032798051834106,30.020697116851807,30.021286010742188,30.023777961730957,30.007435083389282,30.070114850997925,30.022149085998535,30.025649785995483,30.057607889175415,30.02262592315674
18,ER_700_800_0.05_5,97,97,98,96,96,94,99,96,95,99,96,30.020791053771973,30.023079872131348,30.020360946655273,30.045944929122925,30.02229404449463,30.02104902267456,30.058393955230713,30.005454063415527,30.01107692718506,30.009376049041748,30.00558614730835
19,ER_700_800_0.05_24,97,96,93,95,95,97,93,97,94,96,93,30.009692907333374,30.023698091506958,30.004878044128418,30.008735179901123,30.010951042175293,30.009752988815308,30.029917001724243,30.009116888046265,30.009918928146362,30.02583408355713,30.012853860855103
20,ER_700_800_0.05_12,95,94,93,93,97,94,91,90,91,93,92,30.020193099975586,30.048414945602417,30.072257041931152,30.021251916885376,30.04084300994873,30.022960901260376,30.03833293914795,30.005550861358643,30.04333782196045,30.004777908325195,30.02231788635254
21,ER_700_800_0.05_13,93,96,94,94,97,96,94,95,94,95,94,30.031736850738525,30.01289701461792,30.006071090698242,30.013728857040405,30.01231288909912,30.014161825180054,30.02326202392578,30.0086190700531,30.02317786216736,30.020532846450806,30.024363040924072
22,ER_700_800_0.05_4,95,96,97,97,98,96,94,97,94,100,96,30.023328065872192,30.02330207824707,30.02371907234192,30.061459064483643,30.022207021713257,30.021459102630615,30.039175033569336,30.021514892578125,30.00716805458069,30.012802839279175,30.02715015411377
23,ER_700_800_0.05_25,93,94,94,92,97,96,97,98,96,96,97,30.027207851409912,30.024988889694214,30.0219988822937,30.029802083969116,30.020226001739502,30.07913613319397,30.026376008987427,30.099250078201294,30.105350017547607,30.024302005767822,30.16562294960022
24,ER_700_800_0.05_11,91,96,94,96,95,92,93,94,96,91,95,30.022175788879395,30.006392002105713,30.04452395439148,30.019073963165283,30.022106170654297,30.02009892463684,30.18777298927307,30.08589506149292,30.064435958862305,30.066459894180298,30.026082038879395
